tas,"	Year", Month, Country
25.9781,1991,1,GUY
25.9431,1991,2,GUY
25.5022,1991,3,GUY
25.6134,1991,4,GUY
26.0902,1991,5,GUY
25.7261,1991,6,GUY
25.2204,1991,7,GUY
25.6829,1991,8,GUY
26.1013,1991,9,GUY
26.3911,1991,10,GUY
26.1809,1991,11,GUY
25.3882,1991,12,GUY
24.6744,1992,1,GUY
25.2827,1992,2,GUY
25.5374,1992,3,GUY
25.5794,1992,4,GUY
25.3749,1992,5,GUY
25.2009,1992,6,GUY
24.1966,1992,7,GUY
24.6786,1992,8,GUY
25.3804,1992,9,GUY
25.8638,1992,10,GUY
26.3603,1992,11,GUY
24.2712,1992,12,GUY
24.163,1993,1,GUY
25.2859,1993,2,GUY
24.9014,1993,3,GUY
25.1571,1993,4,GUY
25.0841,1993,5,GUY
25.3866,1993,6,GUY
24.7755,1993,7,GUY
25.5218,1993,8,GUY
25.9299,1993,9,GUY
26.185,1993,10,GUY
25.8323,1993,11,GUY
26.3422,1993,12,GUY
25.4682,1994,1,GUY
25.3278,1994,2,GUY
25.8017,1994,3,GUY
25.6829,1994,4,GUY
25.496,1994,5,GUY
25.3163,1994,6,GUY
24.3852,1994,7,GUY
24.6654,1994,8,GUY
25.3747,1994,9,GUY
25.7192,1994,10,GUY
25.5926,1994,11,GUY
24.8961,1994,12,GUY
25.4673,1995,1,GUY
25.8422,1995,2,GUY
26.1141,1995,3,GUY
26.4628,1995,4,GUY
26.2286,1995,5,GUY
25.9482,1995,6,GUY
25.5003,1995,7,GUY
26.3715,1995,8,GUY
27.1164,1995,9,GUY
27.244,1995,10,GUY
26.5077,1995,11,GUY
25.6137,1995,12,GUY
25.6731,1996,1,GUY
25.5789,1996,2,GUY
25.7569,1996,3,GUY
26.053,1996,4,GUY
25.6541,1996,5,GUY
25.1172,1996,6,GUY
24.9836,1996,7,GUY
25.7377,1996,8,GUY
26.5059,1996,9,GUY
26.8806,1996,10,GUY
26.2169,1996,11,GUY
25.7196,1996,12,GUY
25.0449,1997,1,GUY
24.7433,1997,2,GUY
25.2617,1997,3,GUY
25.8316,1997,4,GUY
25.7006,1997,5,GUY
26.2696,1997,6,GUY
26.0381,1997,7,GUY
26.3296,1997,8,GUY
27.3138,1997,9,GUY
28.241,1997,10,GUY
27.5611,1997,11,GUY
26.3561,1997,12,GUY
26.5584,1998,1,GUY
27.5241,1998,2,GUY
27.816,1998,3,GUY
27.2683,1998,4,GUY
26.7926,1998,5,GUY
25.9164,1998,6,GUY
26.1109,1998,7,GUY
26.713,1998,8,GUY
27.2776,1998,9,GUY
27.223,1998,10,GUY
26.3935,1998,11,GUY
25.8478,1998,12,GUY
25.2633,1999,1,GUY
25.2453,1999,2,GUY
25.4951,1999,3,GUY
25.5887,1999,4,GUY
25.8342,1999,5,GUY
25.4824,1999,6,GUY
25.4627,1999,7,GUY
25.6718,1999,8,GUY
26.9665,1999,9,GUY
26.9663,1999,10,GUY
27.2135,1999,11,GUY
26.8955,1999,12,GUY
25.3427,2000,1,GUY
25.1272,2000,2,GUY
25.6513,2000,3,GUY
26.1332,2000,4,GUY
26.3176,2000,5,GUY
25.7091,2000,6,GUY
26.0242,2000,7,GUY
26.5263,2000,8,GUY
26.7132,2000,9,GUY
27.1115,2000,10,GUY
26.9108,2000,11,GUY
26.0861,2000,12,GUY
25.3019,2001,1,GUY
26.0247,2001,2,GUY
26.0684,2001,3,GUY
25.7305,2001,4,GUY
25.9675,2001,5,GUY
25.14,2001,6,GUY
25.4558,2001,7,GUY
26.5495,2001,8,GUY
26.6903,2001,9,GUY
27.46,2001,10,GUY
27.2854,2001,11,GUY
26.8193,2001,12,GUY
26.1152,2002,1,GUY
25.8455,2002,2,GUY
25.8995,2002,3,GUY
25.0655,2002,4,GUY
24.3642,2002,5,GUY
24.0785,2002,6,GUY
24.8288,2002,7,GUY
25.1501,2002,8,GUY
25.9822,2002,9,GUY
27.3032,2002,10,GUY
26.3458,2002,11,GUY
25.7063,2002,12,GUY
26.7407,2003,1,GUY
25.9609,2003,2,GUY
26.6519,2003,3,GUY
